"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17703","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Babulal saini","Payment Success","11050"
"17704","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Banarasi Devi","Payment Success","14820"
"17705","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Kailash Chandra","Payment Success","14820"
"17706","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Kamla devi","Payment Success","14820"
"17707","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/156660","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava (2024-2029)","Elected MP","29-Dec-2025","DESAD GRAM PNCHAYAT","Payment Success","200000"
"17708","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey  (2024-2029)","Elected MP","15-Jan-2026","BHAVANI TREDERS","Payment Success","25667"
"17709","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey  (2024-2029)","Elected MP","15-Jan-2026","BHAVANI TREDERS","Payment Success","37214"
"17710","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey  (2024-2029)","Elected MP","15-Jan-2026","BHAVANI TREDERS","Payment Success","68558"
"17711","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey  (2024-2029)","Elected MP","15-Jan-2026","BHAVANI TREDERS","Payment Success","103250"
"17712","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey  (2024-2029)","Elected MP","15-Jan-2026","BHAVANI TREDERS","Payment Success","103250"
