"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"408","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251615","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"409","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251616","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"410","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251622","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"411","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251614","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"412","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251629","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"413","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251631","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"414","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251627","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"415","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251618","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"416","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251619","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"417","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251620","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"418","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251634","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"419","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251640","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"420","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251633","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"421","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251645","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"422","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251637","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"423","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251638","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"424","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251639","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"425","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251635","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"426","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251628","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"427","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251630","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"428","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251606","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"429","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251600","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"430","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251601","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"431","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251602","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"432","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251593","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"433","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251594","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"434","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251597","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"435","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251598","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"436","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251599","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"437","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251592","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"438","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251737","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"439","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251731","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"440","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251733","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"441","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251729","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"442","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251740","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"443","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251739","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"444","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251730","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"445","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251708","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"446","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251707","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"447","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251709","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"448","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251710","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"449","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251703","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"450","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251732","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"451","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251711","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"452","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251704","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"453","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251705","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"454","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251706","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"455","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251698","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"456","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251699","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"457","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251697","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"458","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251696","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"459","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251702","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"460","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251700","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"461","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251701","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","23-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"462","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251657","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"463","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251656","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"464","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251665","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"465","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251666","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"466","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251667","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"467","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251658","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"468","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251655","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"469","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251646","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"470","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251659","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"471","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251647","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"472","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251641","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"473","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251642","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"474","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251643","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"475","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251644","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"476","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251662","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"477","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251663","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"478","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251664","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"479","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251672","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"480","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251670","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"481","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251661","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"482","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251673","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"483","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251669","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"484","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251694","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"485","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251695","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"486","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251687","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"487","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251688","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"488","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251680","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"489","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251677","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"490","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251678","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"491","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251679","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"492","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251668","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"493","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251746","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"494","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251747","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"495","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251748","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"496","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251750","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"497","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251751","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"498","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251741","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"499","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251742","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"500","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251744","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"501","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251745","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"502","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251734","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"503","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251735","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"504","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251736","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"505","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251689","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"506","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251690","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"507","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251691","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"508","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251692","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"509","Uttar Pradesh","Lighting of public spaces","WS/MP18404/2025-2026/251693","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","undefined (NaN-NaN)","Elected MP","24-Mar-2026","Gul Ahmad Contractor","Payment In-Progress","26819"
"510","Jharkhand","Construction of platforms and passenger sheds at railway stations","WS/MP433/2026-2027/269512","HAZARIBAGH(DEPUTY COMMISSIONER HAZARIBAGH_IDA)","undefined (NaN-NaN)","Elected MP","22-Jun-2026","RAJ KUMAR SAGAR","Payment In-Progress","199862"
"511","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228337","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","undefined (NaN-NaN)","Elected MP","27-Aug-2026","AMIT KUMAR","Payment In-Progress","93000"
"512","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228359","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","undefined (NaN-NaN)","Elected MP","28-Aug-2026","AMIT KUMAR","Payment In-Progress","123350"
"513","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP435/2025-2026/228362","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","undefined (NaN-NaN)","Elected MP","28-Aug-2026","AMIT KUMAR","Payment In-Progress","115900"
"514","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP435/2025-2026/228363","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","undefined (NaN-NaN)","Elected MP","28-Aug-2026","AMIT KUMAR","Payment In-Progress","56850"
"515","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228364","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","undefined (NaN-NaN)","Elected MP","28-Aug-2026","AMIT KUMAR","Payment In-Progress","123350"
"516","Jharkhand","Renovation of ponds and lakes","WS/MP435/2025-2026/228365","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","undefined (NaN-NaN)","Elected MP","28-Aug-2026","AMIT KUMAR","Payment In-Progress","131250"
