"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"14322","Normal/Others","WS/MP743/2025-2026/195570-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Kadalurgramam","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14323","Normal/Others","WS/MP743/2025-2026/195571-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Kalaignar nagar Mannivakam","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14324","Normal/Others","WS/MP743/2025-2026/195572-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Urapakkam","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14325","Normal/Others","WS/MP743/2025-2026/195574-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Perunkalathur","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14326","Normal/Others","WS/MP743/2025-2026/195575-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Potheri","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14327","Normal/Others","WS/MP743/2025-2026/195576-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Guduvancheri","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14328","Normal/Others","WS/MP743/2025-2026/195577-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library nandhivaram Guduvancheri","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14329","Normal/Others","WS/MP743/2025-2026/195578-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Illalur","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14330","Normal/Others","WS/MP743/2025-2026/195579-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Vadamanipakkam kongaraimampattu","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14331","Normal/Others","WS/MP743/2025-2026/195603-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Purchase of Books and periodicals for Branch library Vedavakkam","Ganesan Selvam","KANCHEEPURAM(SC)","Images","29-Aug-2025","50000"
"14332","Normal/Others","WS/MP642/2025-2026/199813-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Gram panchayat me PCC Road Nrman hetu","Ganesh Singh","SATNA","Images","07-Feb-2026","500000"
"14333","Normal/Others","WS/MP18335/2025-2026/210413-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Construction of RCC culvert bridge","RADHE SHYAM RATHIYA","RAIGARH(ST)","Images","12-Dec-2025","1200000"
"14334","Repair and Renovation","WS/MP18019/2025-2026/216377-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","Repairing and Renovation of VIP Rooms (2 Nos) at Circuit House, Diphu, Karbi Anglong","AMARSING TISSO","Diphu (ST)","N/A","29-Aug-2025","498781"
"14335","Normal/Others","WS/MP18312/2025-2026/163930-Construction of bus-sheds or bus-stops","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Pudukottai PU, Thondaiman viduthi VP, Bus stop in Vadavalam- Pudupatti Road (Adi Dravidar Colony)","DURAI VAIKO","TIRUCHIRAPPALLI","N/A","30-Aug-2025","799472"
"14336","Normal/Others","WS/MP508/2025-2026/189222-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing Interlocking Paver Block From Panchayat office Street at Agraharam Ho Agraharam","CN Annadurai","TIRUVANNAMALAI","N/A","29-Aug-2025","400000"
"14337","Normal/Others","WS/MP740/2025-2026/160942-Construction of community centers and community halls","Tamil Nadu","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Construction of Ration shop at Pazhathottam at Hubbathalai Panchayat","Andimuthu Raja","NILGIRIS(SC)","N/A","29-Aug-2025","1500000"
